Location,Tags,Wikipedia,City,Hot Score,Comment,Rating,Link,Activity
Mahavir Dham Jain Tirth,Other Places of Worship,Mahavir Dham Jain Tirth is a popular religious destination situated in Palghar district of Maharashtra India The temple complex is spread over 45 acres of land and is dedicated to Lord Mahavir the 24th Tirthankara of Jainism The temple was established in 1982 and since then it has been visited by many devotees from different parts of the countryThe temple complex has many attractions such as a 31feet tall idol of Lord Mahavir a museum displaying Jain art and culture a meditation hall and a library The temple also has facilities for the accommodation of devotees with clean and hygienic rooms The temple is surrounded by lush green forests and is located on a hill which provides a panoramic view of the surrounding areaThe temple is known for its grand celebration of Mahavir Jayanti the birth anniversary of Lord Mahavir which is attended by thousands of devotees The peaceful and serene environment of the temple complex provides a perfect escape from the busy and chaotic city life,Palghar,1.0,,,https://us.trip.com/travel-guide/attraction/palghar/mahavir-dham-jain-tirth-61136811/,['']
Hasnabad Dargah,Other Places of Worship,Hasnabad Dargah is a revered Islamic shrine located in Mumbai Maharashtra India The dargah is dedicated to the memory of Hazrat Syed Khwaja Fakhruddin Chishti a Sufi saint who lived in the 18th century The dargah is a popular pilgrimage site for people of all religions and is known for its peaceful and serene atmosphereThe dargah complex comprises of a mosque a madrasa and a mausoleum The mausoleum is the main attraction and is adorned with intricate carvings and beautiful architecture Devotees visit the dargah to offer their prayers and seek blessings from the saint The dargah also hosts various religious events and festivals throughout the yearThe dargah is located in the Hasnabad area of Mumbai which is wellconnected by road and rail Visitors can easily reach the dargah by local trains buses or taxis The dargah is open to visitors of all religions and is a mustvisit for anyone seeking peace and tranquility in the bustling city of Mumbai,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/hasnabad-dargah-61885613/,['']
MAHAGAMI GURUKUL Arts Center,Exhibition Halls,MAHAGAMI GURUKUL Arts Center is a cultural center in the city of Aurangabad Maharashtra India Founded in 1996 the center aims to preserve and promote traditional Indian art forms particularly classical dance and music The center hosts regular performances workshops and training programs for students artists and enthusiasts of Indian classical art forms The facility includes a theater classrooms and rehearsal spaces as well as a library and archive of rare recordings and documents related to Indian classical music and dance MAHAGAMI GURUKUL is known for its annual international dance festival which attracts performers and audiences from around the world The center also offers a residential program for students and scholars interested in intensive study of Indian classical arts,Aurangabad,1.0,,,https://us.trip.com/travel-guide/attraction/aurangabad/mahagami-gurukul-arts-center-39703500/,['']
"Saibaba Mandir,Wadmukhwadi, Pune",Other Places of Worship,Sai Baba Mandir is a popular religious site located in Wadmukhwadi Pune It is dedicated to the great saint Sai Baba who is revered by people of all religions The temple is built in the traditional Hindu style of architecture and features a beautiful idol of Sai BabaThe temple attracts a large number of devotees throughout the year especially on Thursdays which are considered to be auspicious for Sai Baba worship The temple complex also houses a meditation hall a library and a Sai Baba museum which contains his personal belongings and other artifacts related to his life and teachingsThe temple organizes several events and programs throughout the year including bhajans kirtans and discourses on Sai Babas life and teachings The temple also offers free food and accommodation to the devotees who visit the templeOverall Sai Baba Mandir is a peaceful and serene place to visit for those seeking solace and spiritual enlightenment,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/saibaba-mandirwadmukhwadi-pune-39703987/,['']
Unhavare Natural Hot Water Spring,Hot Spring Resorts,Unhavare Natural Hot Water Spring is a popular tourist attraction in the Ratnagiri district of Maharashtra The hot water springs are located in a small village called Unhavare which is situated at a distance of about 28 km from Guhagar The hot water springs are surrounded by lush green forests scenic mountains and a serene environment that makes it an ideal spot for relaxation and rejuvenationThe water from the spring is believed to have medicinal properties that can cure skin ailments and other health issues It is also believed that taking a dip in the hot water can relieve stress and promote relaxation The temperature of the water ranges from 40C to 50C and it flows into a natural pool where visitors can take a dipApart from the hot water springs Unhavare is also known for its beautiful natural surroundings waterfalls and trekking trails The place is ideal for nature lovers and adventure enthusiasts Overall Unhavare Natural Hot Water Spring is a mustvisit place in Ratnagiri district for a unique and refreshing experience,Ratnagiri,1.0,,,https://us.trip.com/travel-guide/attraction/ratnagiri/unhavare-natural-hot-water-spring-50549204/,['']
Neel Parbat,Other Places of Worship,Neel Parbat is a popular tourist attraction located in Malvan Maharashtra It is a hill that rises above the Malvan beach and offers a stunning panoramic view of the sea The hill is surrounded by dense forests and is a perfect spot for trekking enthusiasts Visitors can also take a boat ride from the Malvan jetty to the base of the hill and then trek up to the summitAt the summit visitors can enjoy breathtaking views of the Arabian Sea and the surrounding landscape There is a small temple dedicated to Lord Shiva at the top of the hill The trek up to the summit is moderately difficult and takes around 45 minutes to an hour to complete The best time to visit Neel Parbat is during the monsoon season when the hill is covered with lush green vegetation and the waterfalls are in full flow,Malvan,1.0,,,https://us.trip.com/travel-guide/attraction/malvan/neel-parbat-50634124/,['']
Takali Dhokeshwar - Cave Temple of Shiva,Other Places of Worship,Takali Dhokeshwar is a cave temple located in Ahmednagar district of Maharashtra India The temple is dedicated to Lord Shiva and is believed to have been built in the 6th century AD The temple is carved out of a single rock and is located on a hilltop It is believed that the temple was built by the Rashtrakutas who ruled the region during that timeThe temple has a rectangular mandap hall with a stone roof and pillars leading to a sanctum sanctorum The main attraction of the temple is the large Shiva lingam that is enshrined inside The lingam is believed to be one of the largest in the region and is about 12 feet high The temple also has several carvings of Lord Shiva and other deities on the wallsThe temple is a popular pilgrimage site and attracts a large number of devotees especially during the Mahashivratri festival The site offers a panoramic view of the surrounding hills and is a great place to visit for those who enjoy trekking and nature walks,Ahmednagar,1.0,,,https://us.trip.com/travel-guide/attraction/ahmednagar/takali-dhokeshwar-cave-temple-of-shiva-50690463/,['']
Shree Swami Samartha Kendra,Other Places of Worship,Shree Swami Samartha Kendra is a temple located in Nashik Maharashtra India It is dedicated to the Hindu saint Shree Swami Samartha who was believed to have lived in the 19th century The temple was built in the 1990s and has since become a popular place of worship for devotees of Shree Swami SamarthaThe temple complex consists of several buildings including the main temple a dharmashala for pilgrims a meditation hall and a canteen The main temple houses an idol of Shree Swami Samartha which is worshipped by devoteesThe temple is known for its peaceful ambiance and is a popular destination for those seeking spiritual solace It is also a venue for various religious and cultural events including bhajans kirtans and discourses on the teachings of Shree Swami SamarthaOverall Shree Swami Samartha Kendra is a mustvisit destination for those interested in the life and teachings of Shree Swami Samartha and for those seeking a tranquil environment for meditation and introspection,Nashik,1.0,,,https://us.trip.com/travel-guide/attraction/nashik/shree-swami-samartha-kendra-55836131/,['']
Shri Karthik Swami Mandir,Other Places of Worship,Shri Karthik Swami Mandir is a popular Hindu temple located in Nashik Maharashtra The temple is dedicated to Lord Karthikeya also known as Lord Murugan who is considered as the god of war and victory in Hindu mythology The temple is situated on the outskirts of Nashik and is surrounded by beautiful hills and lush greeneryThe temple is a beautiful example of South Indian architecture with intricate carvings and beautiful sculptures adorning the walls The main deity of the temple Lord Karthikeya is depicted as a young powerful warrior riding a peacock The temple also has several other shrines dedicated to various Hindu deitiesThe temple is a popular destination for devotees of Lord Karthikeya who come to offer their prayers and seek blessings It is particularly crowded during the annual Karthik Poornima festival which is celebrated with great fervor and devotion The temple is also a popular tourist attraction and a great place to experience the rich cultural heritage of Nashik,Nashik,1.0,,,https://us.trip.com/travel-guide/attraction/nashik/shri-karthik-swami-mandir-55993325/,['']
Gun For Glory Shooting Academy,Dams,Gun For Glory Shooting Academy in Pune is a popular training center for shooting sports The academy was founded in 2011 by Shri Gagan Narang a renowned Indian shooter with the aim of promoting and developing shooting sports in India The academy offers worldclass training facilities and coaching for all levels of shooters from beginners to professionals The academy has stateoftheart infrastructure including a shooting range classrooms video analysis rooms and sports science facilities The academy offers various programs including basic intermediate and advanced training programs as well as specialized courses for corporate clients and schools The academy has produced many successful shooters who have won medals at various national and international events It is an excellent place for anyone who wants to learn shooting sports or improve their skills in a professional environment,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/gun-for-glory-shooting-academy-56000109/,['']
The Fine Arts Society,Theaters,The Fine Arts Society is a prominent cultural institution located in Chembur Mumbai It was established in 1936 with the aim of promoting and nurturing the arts in the city The society has a rich history of promoting a range of art forms including music dance drama and visual artsThe Fine Arts Society regularly hosts cultural events and performances throughout the year including classical music concerts dance recitals theater productions and art exhibitions It has an auditorium a studio theatre an art gallery and a library The society also provides training and workshops for various art forms making it a hub for artists art lovers and enthusiastsThe Fine Arts Society has played a significant role in the cultural landscape of Mumbai providing a platform for emerging and established artists to showcase their talents and skills Its contribution to the arts and culture of Mumbai has been widely recognized and celebrated,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/the-fine-arts-society-56068460/,['']
Shree Ayyappa Temple,Historical Architectures,Shree Ayyappa Temple is a Hindu temple located in Mumbai Maharashtra dedicated to Lord Ayyappa who is believed to be an incarnation of Lord Vishnu and Lord Shiva The temple is situated in the busy suburb of Kandivali and is one of the most popular temples in the cityThe temple complex has a traditional South Indian architectural style and features a main shrine dedicated to Lord Ayyappa as well as shrines for Lord Ganesh and Lord Murugan The temple is also known for its beautiful and intricate carvings and sculpturesThe temple is visited by a large number of devotees especially during the annual Makaravilakku festival which is celebrated in January every year During this time the temple is decorated with lights and colorful decorations and devotees participate in various rituals and processionsThe temple also provides various services for devotees including a community kitchen meditation hall and accommodation facilities for those who wish to stay overnight,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/shree-ayyappa-temple-58341675/,['']
Blessings Aquarium,City Parks,Blessings Aquarium is a pet store located in Pune Maharashtra It is a onestop destination for all pet lovers offering a wide range of products and services They offer a variety of pet foods pet toys aquariums aquarium accessories and pet grooming services Blessings Aquarium also provides pets for adoption which are healthy vaccinated and wellmaintainedThe store has a team of dedicated and knowledgeable staff members who provide guidance and suggestions to customers on pet care and maintenance They ensure that customers get the right products and services for their pets and also offer home delivery services for added convenienceOverall Blessings Aquarium is a great place to shop for all your petrelated needs and their commitment to pet care and customer satisfaction makes them a reliable choice for pet owners in Pune,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/blessings-aquarium-58354237/,['']
Saltar Dam,Dams,Salter Dam also known as Kasarsai Dam is a popular tourist destination located in the PimpriChinchwad area of Pune Maharashtra The dam is built on the Mula River a tributary of the Bhima River and was constructed in the early 2000s It serves as a major source of water supply to the PimpriChinchwad area and also provides water for irrigation to nearby agricultural landsThe scenic beauty of the dam and the surrounding hills attracts many visitors throughout the year especially during the monsoon season when the dam overflows and the surrounding areas turn lush green The dam also offers boating and water sports activities There are several eateries near the dam where visitors can enjoy local Maharashtrian cuisineSalter Dam is also an important spot for bird watching as many species of migratory and local birds can be spotted here The best time to visit the dam for bird watching is from October to March,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/saltar-dam-58363171/,['']
Meenatai Thackrey Udhyan,Gardens,Meenatai Thackrey Udyan is a public garden located in Nerul Navi Mumbai The garden was named after the late Meenatai Thackrey the wife of Shiv Sena founder Bal Thackrey The park is spread over an area of 20 acres and offers a range of recreational facilities for visitorsThe park has a jogging track a play area for children a small lake with boating facilities and a garden with a variety of plants and trees There is also a small amphitheater in the park where cultural events and concerts are held from time to time The park is a popular spot for locals to relax and spend time with their familiesMeenatai Thackrey Udyan is easily accessible by road and is located close to the Nerul railway station The park is open to visitors from early morning until late evening and is free to enter,Navi Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/navi-mumbai/meenatai-thackrey-udhyan-58364466/,['']
Talajai Hill,Hiking,Taljai Hill is a small hillock located in the city of Pune Maharashtra It is situated near Sahakar Nagar off Sinhagad Road and is about 25 km from Swargate bus station The hill offers a panoramic view of the city and is a popular spot for trekking and birdwatchingTaljai Hill has a rich biodiversity and is home to a variety of bird species including the Indian robin yellowfooted green pigeon and Asian paradise flycatcher The hill also has a small temple dedicated to Goddess Taljai which is visited by many devoteesIn recent years the Pune Municipal Corporation has developed a garden and walking track on the hill making it a popular destination for locals and tourists alike The hill is especially popular during the monsoon season when the surrounding areas are lush and green,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/talajai-hill-62009987/,['']
Gurudwara Guru Nanak Darbar,Other Places of Worship,Gurudwara Guru Nanak Darbar is a Sikh place of worship located in Pune India It is named after the founder of the Sikh religion Guru Nanak Dev Ji The gurudwara was established in 1995 and has since become a popular destination for both locals and visitorsThe gurudwara features a beautiful white marble facade and a large prayer hall where worshippers can come together to pray and sing devotional hymns The main hall also houses the Guru Granth Sahib the holy scripture of the Sikh faithIn addition to its religious functions Gurudwara Guru Nanak Darbar also serves as a community center for the Sikh community in Pune It offers a range of services to those in need including free meals medical camps and educational programsVisitors to the gurudwara are welcome to participate in the daily prayer services and to learn more about the Sikh faith and its rich cultural traditions Whether you are a follower of the Sikh faith or simply interested in learning more about this vibrant community Gurudwara Guru Nanak Darbar is a mustvisit destination in Pune,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/gurudwara-guru-nanak-darbar-62010968/,['']
Asia Society and Museum,Museums,Global nonprofit organization The leading force in forging closer ties between Asia and the West through arts education policy and business outreach,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/asia-society-and-museum-23029964/,['']
St Ignacious Church,Churches and Cathedrals,St Ignatius Church is a Catholic church located in the neighborhood of Jacob Circle in Mumbai India The church is named after St Ignatius of Loyola the founder of the Jesuit order of priests The church was built in the early 1900s and features an impressive Gothicstyle architectureThe church is known for its beautiful stained glass windows which depict scenes from the life of Jesus Christ and other important figures from the Catholic faith The interior of the church is also adorned with ornate carvings marble altars and decorative paintingsIn addition to its religious services St Ignatius Church also serves as a community center for the local Catholic community It offers various programs and services for children youth and adults including religious education classes counseling services and community outreach programsVisitors to Mumbai who are interested in exploring the citys rich religious heritage may want to consider visiting St Ignatius Church as well as other notable churches and temples located throughout the city,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/st-ignacious-church-23033142/,['']
Balkrishna Maharaja Temple,Temples,This is temple of Saint Swami Samarth from Akkalkot located at Dadar west in Mumbai This was established by Balkrishna Maharaj Suratkar in the year 1910 This is very highly worshiped by devotees of Swami Samarth Every day thousand of devotees come here to pay their devotion Very auspicious and pleasant ambiance makes this temple more appealing to heart,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/balkrishna-maharaja-temple-56053503/,['']
Devkop Lake,Lakes,Devkop Lake is a beautiful lake located in the Thane district of Maharashtra India The lake is situated near the village of Devkhop and is surrounded by lush green forests and hills making it a popular destination for nature lovers and outdoor enthusiastsThe lake is fed by several small streams and is known for its clear blue waters It is also home to a variety of fish and aquatic plants making it a popular spot for fishing and boatingVisitors to Devkop Lake can enjoy a range of activities including boating fishing and hiking in the surrounding hills The lake also has several small picnic spots and is a popular destination for families and groups of friendsIn addition to its natural beauty Devkop Lake also has a cultural significance for the local community It is believed to be a sacred site and is home to several small temples and shrines dedicated to various Hindu gods and goddessesOverall Devkop Lake is a mustvisit destination for anyone traveling to Thane district in Maharashtra Its natural beauty tranquil atmosphere and cultural significance make it a truly unique and memorable destination,Thane,1.0,,,https://us.trip.com/travel-guide/attraction/thane/devkop-lake-23488130/,['']
Gowalkot Fort,Castles,Gowalkot Fort is a historical fort located near the town of Chiplun in Ratnagiri district Maharashtra India The fort is believed to have been built during the 17th century by the Maratha king Shivaji Maharaj and it played an important role in the history of the regionThe fort is situated on a hilltop and is surrounded by steep cliffs on three sides making it a challenging location to attack The fortifications include several bastions ramparts and gates which are still visible todayVisitors to Gowalkot Fort can explore the ruins of the fortifications and enjoy stunning views of the surrounding landscape The fort also has a few water tanks and a temple dedicated to Lord ShivaGowalkot Fort is located in a remote area and requires a bit of hiking to reach the top but it is well worth the effort for the stunning views and historical significance of the site It is a popular destination for trekking and camping enthusiasts who want to experience the natural beauty and history of the region,Chiplun,1.0,,,https://us.trip.com/travel-guide/attraction/chiplun/gowalkot-fort-23511173/,['']
Raheja Exocita Mudh Marve,Famous Residences,Raheja Exotica is a luxury residential complex located in the MudhMarve area of Mumbai India The complex is situated on a scenic hilltop overlooking the Arabian Sea and is known for its luxurious amenities and stunning viewsRaheja Exotica comprises several highrise towers which are designed to offer residents a premium living experience The apartments are spacious and wellappointed featuring modern amenities and highend finishesThe complex also offers a range of amenities for residents to enjoy including a clubhouse swimming pool gymnasium landscaped gardens and a childrens play area There is also 24hour security and maintenance services available to ensure the safety and comfort of residentsThe MudhMarve area is known for its beautiful beaches and natural beauty making it a popular destination for weekend getaways and vacations The Raheja Exotica complex is located in close proximity to several popular beaches including Aksa Beach and Gorai BeachOverall Raheja Exotica is a luxurious residential complex that offers residents a premium living experience with stunning views and a range of amenities to enjoy,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/raheja-exocita-mudh-marve-50539130/,['']
Rawanwadi Dam,Water Conservancy Projects,Rawanwadi Dam is a large earthfill dam located in the Bhandara district of Maharashtra India The dam is situated on the Wainganga River and is one of the major sources of water for the regionThe dam was built in the late 1960s and is known for its impressive size and capacity The reservoir created by the dam has a total storage capacity of over 130 million cubic meters of water and provides irrigation water to over 38000 hectares of agricultural land in the surrounding areaIn addition to its importance as a source of water for agriculture Rawanwadi Dam is also a popular destination for tourism and recreation The scenic beauty of the dam and its surrounding hills and forests make it a popular spot for picnics boating and fishingVisitors to Rawanwadi Dam can enjoy a range of activities including hiking birdwatching and camping in the nearby forests The area is also home to several small villages and towns which offer visitors a glimpse into the local way of lifeOverall Rawanwadi Dam is an important landmark in the Bhandara district of Maharashtra and a mustvisit destination for anyone interested in the natural beauty and cultural heritage of the region,Bhandara,1.0,,,https://us.trip.com/travel-guide/attraction/bhandara/rawanwadi-dam-50557902/,['']
Napne Waterfall,Waterfalls,Napne Waterfall is a popular tourist attraction located in Kankavli a town in the Sindhudurg district of Maharashtra India It is situated amidst the dense forests of the Western Ghats and is known for its scenic beauty and refreshing ambianceThe waterfall is formed by the Napne River which flows through the forest and cascades down a rocky terrain to form a picturesque waterfall The waterfall is surrounded by lush greenery and offers a tranquil retreat for nature lovers and adventure enthusiasts alikeTo reach Napne Waterfall one has to trek through the forest for about 45 minutes from the nearest road The trek is moderately difficult and one has to be careful while walking on the rocky terrainThe best time to visit Napne Waterfall is during the monsoon season from June to September when the waterfall is at its full glory However one should avoid visiting during heavy rains as the trek becomes slippery and dangerousOverall Napne Waterfall is a mustvisit destination for those who love nature and adventure It offers a perfect getaway from the hustle and bustle of city life and allows visitors to experience the raw beauty of nature,Kankavli,1.0,,,https://us.trip.com/travel-guide/attraction/kankavli/napne-waterfall-50669018/,['']
Ambadevi Mandir,Temples,Ambadevi Mandir is not located in Mumbai but in the city of Amravati which is located in the state of Maharashtra in India The temple is dedicated to the goddess Ambadevi who is considered to be the protector of the regionAmbadevi Mandir is a popular pilgrimage site for devotees of the goddess who come from all over Maharashtra to seek her blessings The temple is believed to be more than 900 years old and has a rich history and cultural significanceThe temple is located in the heart of the city of Amravati and is easily accessible by road The temple complex is quite large and comprises of several shrines and halls dedicated to different deities The main shrine of Ambadevi is located at the center of the temple complex and is adorned with beautiful carvings and decorationsThe temple also has a large courtyard where devotees can offer their prayers and perform various rituals The temple hosts several festivals throughout the year the most important of which is the Navratri festival which is celebrated with great fervor and enthusiasmOverall Ambadevi Mandir is a mustvisit destination for those who wish to experience the rich cultural heritage of Maharashtra and seek the blessings of the goddess Ambadevi,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/ambadevi-mandir-56044753/,['']
Wageshwari Mandir,Temples,Wageshwari Mandir also known as Wagheshwar Temple is a famous temple located in the city of Mumbai in the state of Maharashtra India The temple is dedicated to Lord Shiva and is one of the oldest and most revered temples in the cityWageshwari Mandir is located in the suburb of Andheri and is easily accessible by road and public transportation The temple is believed to be more than 400 years old and has a rich history and cultural significanceThe temple complex is quite large and comprises of several shrines and halls dedicated to different deities The main shrine of Lord Shiva is located at the center of the temple complex and is adorned with beautiful carvings and decorationsThe temple also has a large courtyard where devotees can offer their prayers and perform various rituals The temple hosts several festivals throughout the year the most important of which is the Maha Shivaratri festival which is celebrated with great fervor and enthusiasmOverall Wageshwari Mandir is a mustvisit destination for those who wish to experience the rich cultural heritage of Mumbai and seek the blessings of Lord Shiva,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/wageshwari-mandir-56044755/,['']
Jay Nag Devta Mandir,Temples,This temple is of great historical importance Therefore it must be well maintained I was a bit disappointed with the maintenance of this temple,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/jay-nag-devta-mandir-56053498/,['']
Hazrat Shah Zahur Dargah,Other Places of Worship,Hazrat Shah Zahur Dargah is a famous Islamic shrine located in Solapur a city in the state of Maharashtra India It is dedicated to Hazrat Shah Zahur a revered Sufi saint who is believed to have lived during the 13th centuryThe dargah is located in the heart of the city and is easily accessible by road and public transportation It is a popular pilgrimage site for devotees of the Sufi saint who come from all over Maharashtra to seek his blessingsThe dargah complex is quite large and comprises of several halls and courtyards where devotees can offer their prayers and perform various rituals The main shrine of Hazrat Shah Zahur is located at the center of the dargah complex and is adorned with beautiful decorations and motifsThe dargah hosts several festivals throughout the year the most important of which is the Urs festival which is celebrated with great fervor and enthusiasm During the Urs festival devotees gather at the dargah to offer their prayers and pay their respects to the Sufi saintOverall Hazrat Shah Zahur Dargah is a mustvisit destination for those who wish to experience the rich cultural heritage of Solapur and seek the blessings of the revered Sufi saint,Solapur,1.0,,,https://us.trip.com/travel-guide/attraction/solapur/hazrat-shah-zahur-dargah-58298075/,['']
Hari-Hara Dharmasastha Temple,Temples,One of the most famous religious places in Nagpur HariHara Dharmasastha temple is Ayyanppan temple which is rare to find anywhere except for in South India So coming here feels like you are in the Southern regions of IndiaThe temple is beautifully constructed and remains well maintained Even though it is a little far away from Nagpur city a visit here is worth it It makes you feel peaceful and calm,Nagpur,1.0,,,https://us.trip.com/travel-guide/attraction/nagpur/hari-hara-dharmasastha-temple-58317465/,['']
Sanghamitra Kali Bari,Other Places of Worship,Sanghamitra Kali Bari is a temple dedicated to the goddess Kali located in the city of Thane in the state of Maharashtra India The temple is managed by the Sanghamitra Social and Cultural Association and is a popular pilgrimage site for devotees of the goddess KaliThe temple is located in the heart of the city and is easily accessible by road and public transportation The temple complex is quite large and comprises of several shrines and halls dedicated to different deities The main shrine of the temple is dedicated to the goddess Kali who is worshiped in her fierce form as the destroyer of evilThe temple also has a large courtyard where devotees can offer their prayers and perform various rituals The temple hosts several festivals throughout the year the most important of which is the Navratri festival which is celebrated with great fervor and enthusiasmOverall Sanghamitra Kali Bari is a mustvisit destination for those who wish to experience the rich cultural heritage of Thane and seek the blessings of the goddess Kali,Thane,1.0,,,https://us.trip.com/travel-guide/attraction/thane/sanghamitra-kali-bari-58336474/,['']
CPRA Greens,Botanical Gardens,CPRA Greens is a popular residential complex located in the Cuffe Parade area of Mumbai Maharashtra India It is known for its lush green surroundings and is a preferred choice of residence for many people in the cityThe complex is located in a prime location in the city and offers easy access to various commercial and entertainment hubs It has a range of amenities such as a swimming pool gymnasium landscaped gardens and a clubhouseCPRA Greens is also known for its wellmaintained greenery and is a popular spot for morning walks and jogging The complex is situated close to the Arabian Sea and offers beautiful views of the coastlineOverall CPRA Greens is a preferred choice of residence for those who wish to live in a prime location in Mumbai and enjoy the benefits of a modern lifestyle in a natural setting,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/cpra-greens-58360489/,['']
Fire Brigade Museum,Museums,The Fire Brigade Museum is a popular museum located in Pune Maharashtra India which is dedicated to the history of firefighting in the city The museum is operated by the Pune Municipal Corporation and showcases the various tools equipment and vehicles used by firefighters in the city over the yearsThe museum is located in the central area of Pune and is easily accessible by road and public transportation The museum has a vast collection of firefighting equipment including vintage fire engines pumps hoses nozzles helmets uniforms and other toolsThe museum also showcases the history of the Pune Fire Brigade and the various fires and emergencies that they have responded to over the years The exhibits are informative and educational and visitors can learn a lot about the history and techniques of firefightingOverall the Fire Brigade Museum is a mustvisit destination for those who are interested in the history of firefighting and wish to learn more about the brave men and women who put their lives on the line to protect their community,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/fire-brigade-museum-58371204/,['']
Smaaash,Entertainment Centers,Smaaash is an indoor amusement center located in Navi Mumbai Maharashtra India The center offers a wide range of entertainment options for people of all ages and interestsSmaaash is located in the Seawoods Grand Central Mall and offers a variety of attractions such as virtual reality games arcade games bowling and gokarting The center also has a multicuisine restaurant and a bar making it an ideal destination for a day out with friends and familyOne of the popular attractions at Smaaash is the virtual reality games which provide an immersive gaming experience The center also has a stateoftheart bowling alley with multiple lanes and a variety of bowling games to choose fromSmaaash also offers various party packages for birthdays and other special occasions making it a popular destination for celebrationsOverall Smaaash is a great place to spend a funfilled day with family and friends and offers a wide range of entertainment options for all ages,Navi Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/navi-mumbai/smaaash-61136677/,['']
Kusuma Devi Temple,Other Places of Worship,Kusuma Devi Temple is a famous Hindu temple located in the town of Srivardhan in the Raigad district of Maharashtra India The temple is dedicated to Goddess Kusuma Devi who is considered to be a form of Goddess DurgaThe temple is believed to be more than 500 years old and is an important pilgrimage site for devotees of the goddess The temple is located on a hill and offers beautiful views of the surrounding landscapeThe temple complex comprises of several shrines dedicated to different deities such as Lord Shiva Lord Vishnu and Lord Ganesh The main shrine of the temple is dedicated to Goddess Kusuma Devi and devotees can offer their prayers and perform various rituals at the templeThe temple is also known for its annual fair which is held during the Navratri festival and attracts a large number of devotees from all over the regionOverall Kusuma Devi Temple is a mustvisit destination for those who seek the blessings of Goddess Kusuma Devi and wish to experience the rich cultural heritage of Srivardhan,Srivardhan,1.0,,,https://us.trip.com/travel-guide/attraction/srivardhan/kusuma-devi-temple-61136839/,['']
Sonai Renuka Mata Mandir,Temples,Sonai Renuka Mata Mandir is a Hindu temple dedicated to the goddess Renuka located in the town of Sonai in Ahmednagar district of Maharashtra India The temple is considered to be one of the important pilgrimage sites in the region and it attracts a large number of devotees throughout the yearThe temple is located on a hill and visitors have to climb around 400 steps to reach the main shrine The temple complex is well maintained and has several other smaller shrines dedicated to various deities The main shrine of the temple is dedicated to the goddess Renuka and it is believed to be more than 800 years oldThe temple is known for its annual fair which is held during the months of November and December and attracts thousands of devotees from all over the region During the fair a variety of cultural events music and dance performances are held and devotees can also purchase souvenirs and religious items from the local shopsOverall Sonai Renuka Mata Mandir is a mustvisit destination for those who seek the blessings of the goddess Renuka and wish to experience the rich cultural heritage of the region,Ahmednagar,1.0,,,https://us.trip.com/travel-guide/attraction/ahmednagar/sonai-renuka-mata-mandir-61850509/,['']
Mahadev Gad,Mountains,Mahadev Gad is a hill fort located in the Parpoli village in the Raigad district of Maharashtra India The fort is situated at an elevation of 3000 feet above sea level and is a popular trekking destination for adventure enthusiastsThe trek to Mahadev Gad is a moderately difficult one and offers stunning views of the surrounding landscape The trek starts from the base village of Parpoli and takes around 23 hours to reach the top of the hill The trail is surrounded by lush green forests and offers glimpses of various species of birds and animalsThe fort is believed to have been built during the 17th century by the Maratha ruler Shivaji Maharaj The fort was strategically important during the Maratha rule and played a significant role in protecting the region from invadersAt the top of the hill visitors can explore the ruins of the fort including the fortification walls bastions and water tanks The top of the hill offers panoramic views of the surrounding landscape and is an ideal spot for photography enthusiastsOverall Mahadev Gad is a great destination for those who love trekking and want to experience the rich cultural heritage of Maharashtra,Parpoli,1.0,,,https://us.trip.com/travel-guide/attraction/parpoli/mahadev-gad-62067628/,['']
